Gene,LDC.Phenotype,Fitness_Score_LDC,Description,Gene.symbol,P.Value,FDR,log2(_rpaA/WT).Microarray,*Direct_target_of_RpaA?,***Essential_in_CLC
Synpcc7942_0534,Not analyzed,,D-fructose-6-phosphate amidotransferase,glmS,,,0.239947022,No,essential
Synpcc7942_0535,Not analyzed,,photosystem I subunit VII,psaC,,,0.048507316,No,essential
Synpcc7942_0536,Not analyzed,,acyl carrier protein,acpP,,,-0.106295517,No,essential
Synpcc7942_0537,Not analyzed,,3-oxoacyl-(acyl carrier protein) synthase II,"fabF, fabJ",,,0.065471898,No,essential
Synpcc7942_2297,Decrease,-2.367,Transaldolase (EC 2.2.1.2),tal,6.77E-37,4.52E-35,-1.097694164,No,non-essential
Synpcc7942_0539,ND (below stat. threshold of conf.),-0.029,Uncharacterized protein,N/A,7.69E-01,8.49E-01,0.101500033,No,non-essential
Synpcc7942_0540,ND (below stat. threshold of conf.),-0.273,Uncharacterized protein,N/A,1.14E-01,2.28E-01,0.108149805,No,non-essential
Synpcc7942_0541,Not analyzed,,hypothetical protein,N/A,,,0.040339956,No,essential
Synpcc7942_0542,Not analyzed,,lipoyl synthase,lipA,,,0.182513356,No,essential
Synpcc7942_0543,ND (below stat. threshold of conf.),-0.195,Uncharacterized protein,N/A,8.29E-02,1.76E-01,-0.088860884,No,non-essential
Synpcc7942_0544,ND (below stat. threshold of conf.),0.002,Uncharacterized protein,N/A,9.86E-01,9.89E-01,0.508692617,No,non-essential
Synpcc7942_0545,ND (below stat. threshold of conf.),-0.119,Uncharacterized protein,N/A,1.61E-01,2.91E-01,0.259102964,No,non-essential
Synpcc7942_0546,Negligable/minor,-0.201,Na+/H+ antiporter,N/A,1.76E-03,7.60E-03,-0.22840671,No,non-essential
Synpcc7942_0547,ND (below stat. threshold of conf.),-0.008,Uncharacterized protein,N/A,9.60E-01,9.76E-01,-0.126416631,No,non-essential
Synpcc7942_0548,Negligable/minor,-0.319,Uncharacterized protein,N/A,8.22E-04,3.99E-03,-0.035542433,No,non-essential
Synpcc7942_0549,Not analyzed,,hypothetical protein,N/A,,,0.206868395,No,essential
Synpcc7942_0550,ND (below stat. threshold of conf.),-0.232,Uncharacterized protein,N/A,1.54E-01,2.82E-01,-0.076752828,No,non-essential
Synpcc7942_0551,ND (below stat. threshold of conf.),-0.538,Uncharacterized protein,N/A,1.06E-02,3.43E-02,-0.107028636,No,non-essential
Synpcc7942_0552,Not analyzed,,UDP-N-acetylglucosamine 2-epimerase,nfrC,,,0.214095919,No,essential
Synpcc7942_0553,ND (below stat. threshold of conf.),-0.161,Secretion protein HlyD,N/A,4.96E-02,1.19E-01,0.333980586,No,non-essential
Synpcc7942_0554,Moderate increase,0.652,Ribosome-binding ATPase YchF,N/A,3.57E-16,7.35E-15,-0.202966339,No,non-essential
Synpcc7942_0555,ND (below stat. threshold of conf.),-0.214,Zinc metalloprotease,N/A,1.21E-01,2.38E-01,0.176263834,No,non-essential
Synpcc7942_0556,ND (below stat. threshold of conf.),-0.007,"Two component transcriptional regulator, winged helix family",N/A,9.57E-01,9.75E-01,-3.081831415,Yes,non-essential
Synpcc7942_0557,ND (below stat. threshold of conf.),-0.076,Uncharacterized protein,N/A,7.94E-01,8.66E-01,-2.455693795,Yes,non-essential
Synpcc7942_0558,Moderate decrease,-0.733,Uncharacterized protein,N/A,5.28E-08,5.07E-07,-0.389195193,Yes,non-essential
Synpcc7942_0559,ND (below stat. threshold of conf.),-0.062,33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33),N/A,4.08E-01,5.61E-01,0.006512034,No,non-essential
Synpcc7942_0560,Not analyzed,,ATPase,N/A,,,0.112931393,No,essential
Synpcc7942_0561,Moderate increase,0.952,Uncharacterized protein,N/A,1.24E-22,4.55E-21,0.123805868,No,non-essential
Synpcc7942_0562,ND (below stat. threshold of conf.),-0.193,Uncharacterized protein,N/A,1.24E-01,2.41E-01,0.155562633,No,non-essential
Synpcc7942_0563,Moderate decrease,-0.752,UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B),N/A,1.85E-08,1.92E-07,-0.09119638,No,non-essential
Synpcc7942_0564,ND (below stat. threshold of conf.),0.003,ATPase,N/A,9.74E-01,9.83E-01,0.114921223,No,non-essential
Synpcc7942_0565,Negligable/minor,-0.471,FHA domain containing protein,N/A,7.39E-05,4.48E-04,-0.057311412,No,non-essential
Synpcc7942_0566,ND (below stat. threshold of conf.),-0.211,HAD-superfamily hydrolase subfamily IIB,N/A,4.14E-02,1.02E-01,-0.034667127,No,non-essential
Synpcc7942_0567,Negligable/minor,-0.284,Uncharacterized protein,N/A,9.01E-05,5.35E-04,-0.153512515,No,non-essential
Synpcc7942_0568,ND (below stat. threshold of conf.),-0.192,Cytosine deaminase,N/A,1.67E-02,5.01E-02,-0.230510722,No,non-essential
Synpcc7942_0569,ND (below stat. threshold of conf.),-0.016,RNA polymerase sigma factor SigA4,N/A,9.12E-01,9.45E-01,-0.700438499,No,non-essential
Synpcc7942_0570,Not analyzed,,DNA polymerase III subunit alpha,dnaE,,,0.114591161,Yes,essential
Synpcc7942_0571,Not analyzed,,sugar (Glycoside-Pentoside-Hexuronide) transporter,N/A,,,-0.031146143,Yes,beneficial
Synpcc7942_0572,ND (below stat. threshold of conf.),-0.250,Uncharacterized protein,N/A,2.52E-01,3.98E-01,-0.156070332,Yes,non-essential
Synpcc7942_0573,ND (below stat. threshold of conf.),0.146,Uncharacterized protein,N/A,4.89E-01,6.29E-01,-0.971981483,No,non-essential
Synpcc7942_0574,ND (below stat. threshold of conf.),-0.022,Uncharacterized protein,N/A,8.10E-01,8.78E-01,0.04785286,No,non-essential
Synpcc7942_0575,Negligable/minor,-0.437,Uncharacterized protein,N/A,9.99E-06,7.11E-05,0.040061695,No,non-essential
Synpcc7942_0576,Not analyzed,,thiazole synthase,thiG,,,0.257118644,No,essential
Synpcc7942_0577,ND (below stat. threshold of conf.),-0.130,Uncharacterized protein,N/A,4.43E-01,5.92E-01,-0.160432258,No,non-essential
Synpcc7942_0578,Negligable/minor,-0.415,SqdB (UDP-sulfoquinovose synthase) (EC 3.13.1.1),N/A,3.95E-04,2.09E-03,-0.029505653,No,beneficial
Synpcc7942_0579,Negligable/minor,-0.409,SqdX (Sulfolipid sulfoquinovosyldiacylglycerol biosynthesis protein),N/A,6.49E-07,5.58E-06,0.171606163,No,beneficial
Synpcc7942_0580,Not analyzed,,Peptidoglycan glycosyltransferase,ftsI,,,0.073452559,No,essential
Synpcc7942_0581,ND (below stat. threshold of conf.),-0.255,Uncharacterized protein,N/A,6.78E-02,1.50E-01,-0.795313943,No,non-essential
Synpcc7942_0582,Negligable/minor,-0.287,Uncharacterized protein,N/A,5.75E-05,3.56E-04,0.042713172,No,non-essential
Synpcc7942_0583,Not analyzed,,protoporphyrin IX magnesium-chelatase,chlI,,,-0.239289891,No,essential
Synpcc7942_2333,Decrease,-1.463,Putative OxPP cycle protein OpcA,opcA,1.79E-34,1.08E-32,-2.03859809,Yes,non-essential
Synpcc7942_0585,ND (below stat. threshold of conf.),-0.085,PDZ/DHR/GLGF,N/A,3.34E-01,4.87E-01,0.176619893,No,non-essential
Synpcc7942_0586,ND (below stat. threshold of conf.),-0.265,"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA (3',5'-cyclic AMP phosphodiesterase) (cAMP phosphodiesterase) (EC 3.1.4.53)",N/A,3.58E-02,9.18E-02,0.111718749,No,non-essential
Synpcc7942_0587,Not analyzed,,valyl-tRNA synthetase,valS,,,0.111706589,No,essential
Synpcc7942_0588,ND (below stat. threshold of conf.),0.223,Phosphoribosylglycinamide formyltransferase 2 (GART 2) (EC 2.1.2.-) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2),N/A,3.17E-02,8.35E-02,0.100237132,No,non-essential
Synpcc7942_0589,ND (below stat. threshold of conf.),0.287,Fe-S-cluster oxidoreductase-like,N/A,1.68E-01,2.98E-01,0.364052533,No,ambiguous
Synpcc7942_0590,ND (below stat. threshold of conf.),-0.163,Membrane protein-like,N/A,1.15E-01,2.28E-01,0.03304345,No,non-essential
Synpcc7942_0591,ND (below stat. threshold of conf.),-0.196,Membrane protein-like,N/A,1.65E-01,2.94E-01,-0.346661959,No,non-essential
Synpcc7942_2334,Decrease,-2.715,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),zwf,4.22E-119,3.95E-116,-2.192221225,No,non-essential
Synpcc7942_0593,ND (below stat. threshold of conf.),-0.202,Uncharacterized protein,N/A,2.63E-02,7.18E-02,-0.003549885,No,non-essential
Synpcc7942_0594,Negligable/minor,-0.296,Uncharacterized protein,N/A,2.00E-06,1.56E-05,-0.105146772,No,non-essential
Synpcc7942_0595,ND (below stat. threshold of conf.),-0.206,Uncharacterized protein,N/A,9.68E-02,1.99E-01,-0.282654653,No,non-essential
Synpcc7942_0596,ND (below stat. threshold of conf.),-0.052,Delta(24)-sterol C-methyltransferase,N/A,5.70E-01,7.00E-01,-0.044976451,No,non-essential
Synpcc7942_0597,Not analyzed,,naphthoate synthase,menB,,,0.323179362,No,essential
Synpcc7942_0598,Not analyzed,,Peptidoglycan-binding LysM,N/A,,,-0.301682566,No,essential
Synpcc7942_0599,ND (below stat. threshold of conf.),-0.051,"Putative transcriptional regulator, TetR family",N/A,5.86E-01,7.11E-01,-2.124431929,No,non-essential
Synpcc7942_0600,Moderate increase,0.935,Serine/threonine protein kinase,N/A,1.90E-48,1.77E-46,0.022829202,No,non-essential
Synpcc7942_0601,ND (below stat. threshold of conf.),0.150,Uncharacterized protein,N/A,3.74E-01,5.25E-01,-0.101836016,No,non-essential
Synpcc7942_0602,ND (below stat. threshold of conf.),-0.250,Uncharacterized protein,N/A,2.03E-01,3.44E-01,0.152758759,No,non-essential
Synpcc7942_2335,Moderate decrease,-0.853,"Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1) (Fructose-1,6-bisphosphatase F-II)",fbp,1.54E-22,5.44E-21,-1.972318079,No,non-essential
Synpcc7942_0592,ND (below stat. threshold of conf.),-0.181,6-phosphofructokinase (EC 2.7.1.11),pfk,2.17E-02,6.20E-02,-0.157832531,No,non-essential
Synpcc7942_0605,ND (below stat. threshold of conf.),-0.100,Uncharacterized protein,N/A,2.12E-01,3.55E-01,0.098314899,No,non-essential
Synpcc7942_0606,ND (below stat. threshold of conf.),-0.253,Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase),N/A,2.38E-01,3.83E-01,0.294387114,No,non-essential
Synpcc7942_0607,ND (below stat. threshold of conf.),0.149,Uncharacterized protein,N/A,3.90E-01,5.43E-01,-0.252111011,No,non-essential
Synpcc7942_0608,ND (below stat. threshold of conf.),0.020,"Acireductone dioxygenase (1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase) (DHK-MTPene dioxygenase) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)",N/A,8.32E-01,8.94E-01,0.187355866,No,non-essential
Synpcc7942_0609,Negligable/minor,-0.227,"NADPH dehydrogenase subunit 4 (Proton-translocating NADH-quinone oxidoreductase, chain M) (EC 1.6.99.5)",N/A,1.35E-03,6.07E-03,0.163384069,No,non-essential
Synpcc7942_0610,Negligable/minor,-0.246,Uncharacterized protein,N/A,3.85E-05,2.46E-04,0.188949698,No,non-essential
Synpcc7942_0611,Negligable/minor,0.180,Endonuclease MutS2 (EC 3.1.-.-),N/A,1.73E-03,7.49E-03,0.474986597,No,non-essential
Synpcc7942_0612,Not analyzed,,methylcitrate synthase,gltA,,,0.090068771,No,essential
Synpcc7942_0613,ND (below stat. threshold of conf.),-0.150,"Phosphohistidine phosphatase, SixA",N/A,1.59E-01,2.87E-01,0.069261964,No,non-essential
Synpcc7942_0614,Negligable/minor,-0.359,Uncharacterized protein,N/A,1.40E-05,9.72E-05,0.385635031,No,beneficial
Synpcc7942_0615,ND (below stat. threshold of conf.),-0.233,Rhodanese-like,N/A,1.20E-01,2.37E-01,0.279915489,No,non-essential
Synpcc7942_0616,Negligable/minor,-0.301,Heat-inducible transcription repressor HrcA,N/A,3.96E-04,2.09E-03,-0.033734896,No,non-essential
Synpcc7942_0617,ND (below stat. threshold of conf.),-0.054,Uncharacterized protein,N/A,6.71E-01,7.72E-01,-0.0300946,No,non-essential
Synpcc7942_0618,Not analyzed,,S-adenosyl-L-homocysteine hydrolase,"ahcY, sahH",,,0.181838193,No,essential
Synpcc7942_0619,ND (below stat. threshold of conf.),-0.202,Uncharacterized protein,N/A,4.35E-02,1.06E-01,0.18759013,No,non-essential
Synpcc7942_0620,Negligable/minor,-0.350,Uncharacterized protein,N/A,9.38E-04,4.48E-03,0.036390343,No,non-essential
Synpcc7942_0621,Negligable/minor,0.418,Uncharacterized protein,N/A,3.51E-09,3.87E-08,0.061726423,No,non-essential
Synpcc7942_0622,ND (below stat. threshold of conf.),-0.048,ATPase,N/A,5.81E-01,7.08E-01,0.062544866,No,beneficial
Synpcc7942_0623,ND (below stat. threshold of conf.),-0.139,Thioredoxin reductase (EC 1.8.1.9),N/A,1.28E-01,2.45E-01,0.148116684,No,non-essential
Synpcc7942_0624,ND (below stat. threshold of conf.),-0.174,Light dependent period,N/A,6.08E-02,1.39E-01,0.311267042,No,beneficial
Synpcc7942_0625,Negligable/minor,0.309,Single-stranded nucleic acid binding R3H,N/A,1.11E-07,1.03E-06,0.019899344,No,non-essential
Synpcc7942_0626,Not analyzed,,dihydroxy-acid dehydratase,ilvD,,,0.319115882,No,essential
Synpcc7942_0627,Moderate decrease,-0.655,Uncharacterized protein,N/A,8.48E-05,5.07E-04,0.186832236,No,beneficial
Synpcc7942_0628,Not analyzed,,spermidine synthase,N/A,,,0.015692553,No,beneficial
Synpcc7942_0629,ND (below stat. threshold of conf.),0.042,Uncharacterized protein,N/A,7.31E-01,8.17E-01,0.252261442,No,non-essential
Synpcc7942_0630,ND (below stat. threshold of conf.),-0.184,Uncharacterized protein,N/A,2.56E-02,7.06E-02,-0.018560792,No,non-essential
Synpcc7942_0631,Not analyzed,,50S ribosomal protein L7/L12,"rplL, rpl12",,,0.0194308,No,essential
Synpcc7942_0632,Not analyzed,,50S ribosomal protein L10,"rplJ, rpl10",,,0.023368752,No,essential
Synpcc7942_0633,Not analyzed,,50S ribosomal protein L1,"rplA, rpl1",,,-0.043557564,No,essential
Synpcc7942_0634,Not analyzed,,50S ribosomal protein L11,"rplK, rpl11",,,-0.116649438,No,essential
Synpcc7942_0635,Not analyzed,,transcription antitermination protein NusG,nusG,,,0.051293199,No,essential
Synpcc7942_0636,Not analyzed,,preprotein translocase subunit SecE,secE,,,0.066082221,No,essential
Synpcc7942_0637,Not analyzed,,ATPase,"clpB, clpBII",,,0.134122219,No,essential
Synpcc7942_0638,Moderate decrease,-0.559,Glyoxalase I (EC 4.4.1.5),N/A,7.37E-05,4.48E-04,0.389428199,No,non-essential
Synpcc7942_0639,Not analyzed,,phosphopyruvate hydratase,eno,,,0.387853741,No,essential
Synpcc7942_0640,Negligable/minor,0.328,ATPase,N/A,1.27E-03,5.71E-03,0.124691895,No,non-essential
Synpcc7942_0641,Moderate increase,0.571,Succinate dehydrogenase subunit A (EC 1.3.5.1),N/A,3.71E-19,9.38E-18,-0.011535706,No,non-essential
Synpcc7942_0642,ND (below stat. threshold of conf.),-0.071,Bacterioferritin comigratory protein,N/A,4.42E-01,5.92E-01,0.212547235,No,non-essential
Synpcc7942_0643,ND (below stat. threshold of conf.),0.222,Uncharacterized protein,N/A,1.64E-01,2.93E-01,0.043509421,No,non-essential
Synpcc7942_0644,Increase,1.439,Circadian input kinase (GAF sensor hybrid histidine kinase) (EC 2.7.3.-),cikA,1.49E-50,1.47E-48,-0.591566936,No,non-essential
Synpcc7942_0645,Not analyzed,,glutamate-1-semialdehyde aminotransferase,hemL,,,0.106303044,No,essential
Synpcc7942_0646,ND (below stat. threshold of conf.),0.400,Uncharacterized protein,N/A,3.22E-01,4.75E-01,0.219256916,No,non-essential
Synpcc7942_0647,ND (below stat. threshold of conf.),-0.247,Uncharacterized protein,N/A,2.00E-01,3.42E-01,-0.477234175,No,non-essential
Synpcc7942_0648,ND (below stat. threshold of conf.),-0.996,Uncharacterized protein,N/A,4.95E-03,1.79E-02,-0.988328562,No,non-essential
Synpcc7942_0649,Not analyzed,,RNA polymerase sigma factor RpoD,"rpoD1, sigA",,,-0.529349204,No,essential
Synpcc7942_0650,ND (below stat. threshold of conf.),-0.090,Uncharacterized protein,N/A,4.02E-01,5.54E-01,0.051069348,No,non-essential
Synpcc7942_0651,Not analyzed,,primosome assembly protein PriA,priA,,,-0.135604955,No,essential
Synpcc7942_0652,ND (below stat. threshold of conf.),-0.104,Uncharacterized protein,N/A,9.83E-02,2.01E-01,0.046616626,No,non-essential
Synpcc7942_0653,Not analyzed,,Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family-like,"cdv1, ppiB",,,-0.000278961,No,essential
Synpcc7942_0654,Not analyzed,,photosystem I assembly protein Ycf4,ycf4,,,0.072606798,No,essential
Synpcc7942_0655,Not analyzed,,photosystem II D2 protein (photosystem q(a) protein),"psbDI, psbD, psbD1",,,0.188329267,No,not_analyzed
Synpcc7942_0656,Not analyzed,,photosystem II 44 kDa subunit reaction center protein,psbC,,,0.229143997,No,essential
Synpcc7942_0657,Not analyzed,,hypothetical protein,N/A,,,0.630087094,Yes,essential
Synpcc7942_0658,ND (below stat. threshold of conf.),-0.404,Uncharacterized protein,N/A,9.93E-02,2.03E-01,0.07740683,No,non-essential
Synpcc7942_0659,Moderate increase,0.681,Rad3-related DNA helicases-like,N/A,6.16E-20,1.65E-18,0.070125918,No,non-essential
Synpcc7942_0660,ND (below stat. threshold of conf.),0.049,Arogenate dehydrogenase (NADP) (EC 1.3.1.78),N/A,8.71E-01,9.21E-01,-0.17767508,No,ambiguous
Synpcc7942_0661,Negligable/minor,-0.302,Uncharacterized protein,N/A,5.34E-08,5.10E-07,-0.022805913,No,non-essential
Synpcc7942_0662,ND (below stat. threshold of conf.),-0.190,Uncharacterized protein,N/A,6.44E-02,1.45E-01,-0.536036829,No,non-essential
Synpcc7942_0663,Negligable/minor,-0.217,Putative adenylate/guanylate cyclase,N/A,9.02E-04,4.33E-03,0.058874664,No,non-essential
Synpcc7942_0664,ND (below stat. threshold of conf.),-0.115,Cyclic nucleotide-binding,N/A,3.04E-01,4.57E-01,-0.060684633,No,non-essential
Synpcc7942_0665,ND (below stat. threshold of conf.),-0.161,Uncharacterized protein,N/A,7.00E-02,1.54E-01,0.369497401,No,non-essential
Synpcc7942_0666,ND (below stat. threshold of conf.),-0.062,Heat shock protein DnaJ-like,N/A,6.16E-01,7.34E-01,-0.147989078,No,non-essential
Synpcc7942_0667,ND (below stat. threshold of conf.),0.317,Uncharacterized protein,N/A,1.77E-01,3.11E-01,0.923710338,No,non-essential
Synpcc7942_0668,ND (below stat. threshold of conf.),-0.284,Uncharacterized protein,N/A,2.18E-01,3.61E-01,-0.746207476,No,non-essential
Synpcc7942_0669,ND (below stat. threshold of conf.),-0.186,Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-),N/A,1.03E-01,2.09E-01,0.341030565,No,non-essential
Synpcc7942_0670,Not analyzed,,aspartate carbamoyltransferase catalytic subunit,pyrB,,,-0.00967416,No,essential
Synpcc7942_0671,ND (below stat. threshold of conf.),-0.056,Uncharacterized protein,N/A,5.56E-01,6.88E-01,-0.146865049,No,non-essential
Synpcc7942_0672,Negligable/minor,-0.443,RNA polymerase sigma factor SigA3,N/A,8.42E-05,5.05E-04,0.038981294,No,non-essential
Synpcc7942_0673,Negligable/minor,-0.297,A/G-specific DNA-adenine glycosylase (EC 3.2.2.-),N/A,1.07E-03,4.96E-03,-0.175428888,No,non-essential
Synpcc7942_0674,Not analyzed,,coproporphyrinogen III oxidase,hemF,,,0.277961229,No,essential
Synpcc7942_0675,ND (below stat. threshold of conf.),0.244,Uncharacterized protein,N/A,4.28E-02,1.05E-01,0.342433312,No,non-essential
Synpcc7942_0676,Not analyzed,,hypothetical protein,N/A,,,0.15757761,No,essential
Synpcc7942_0677,ND (below stat. threshold of conf.),0.080,"Transcriptional regulator, PadR family",N/A,3.39E-01,4.92E-01,-0.728780997,No,non-essential
Synpcc7942_0678,Negligable/minor,0.372,3'-5' exonuclease,N/A,1.12E-04,6.57E-04,0.271616561,No,non-essential
Synpcc7942_0679,ND (below stat. threshold of conf.),-0.572,RNA-binding region RNP-1,N/A,4.62E-03,1.68E-02,-0.132578659,No,non-essential
Synpcc7942_0680,ND (below stat. threshold of conf.),-0.043,C-5 sterol desaturase (EC 1.3.3.-),N/A,7.42E-01,8.24E-01,-1.301442213,No,non-essential
Synpcc7942_0681,Not analyzed,,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,ispD,,,-0.264886404,No,essential
Synpcc7942_0682,Not analyzed,,hypothetical protein,N/A,,,0.129536448,No,essential
Synpcc7942_0683,Decrease,-1.216,Potassium channel protein,N/A,1.59E-21,4.97E-20,-0.029622784,No,non-essential
Synpcc7942_0684,Not analyzed,,3-oxoacyl-[acyl-carrier-protein] reductase,fabG,,,-0.047916468,No,essential
Synpcc7942_0685,Negligable/minor,0.263,60 kDa chaperonin (GroEL protein) (Protein Cpn60),N/A,1.19E-04,6.98E-04,-0.543063857,No,non-essential
Synpcc7942_0686,ND (below stat. threshold of conf.),0.033,"FO synthase subunit 2 (EC 2.5.1.77) (7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 2)",N/A,6.96E-01,7.91E-01,-0.699952299,No,non-essential
Synpcc7942_0687,Negligable/minor,0.223,Uncharacterized protein,N/A,1.75E-04,9.86E-04,-0.263716178,No,non-essential
Synpcc7942_0688,ND (below stat. threshold of conf.),-0.091,"Transcriptional regulator, ArsR family",N/A,6.14E-01,7.33E-01,-0.219005409,No,non-essential
Synpcc7942_0689,Not analyzed,,hypothetical protein,N/A,,,0.04453604,No,essential
Synpcc7942_0690,ND (below stat. threshold of conf.),0.348,ATP-dependent Clp protease adapter protein ClpS,N/A,7.10E-02,1.56E-01,-0.000697352,No,non-essential
Synpcc7942_0691,ND (below stat. threshold of conf.),0.209,Uncharacterized protein,N/A,1.26E-01,2.44E-01,0.187733425,No,non-essential
Synpcc7942_0692,ND (below stat. threshold of conf.),-0.017,Uncharacterized protein,N/A,8.82E-01,9.25E-01,-0.058223357,No,non-essential
Synpcc7942_0693,ND (below stat. threshold of conf.),-0.304,Uncharacterized protein,N/A,2.71E-03,1.11E-02,0.034871509,No,non-essential
Synpcc7942_0694,Not analyzed,,30S ribosomal protein S1,rps1,,,-0.186469278,No,essential
Synpcc7942_0695,Negligable/minor,0.419,Transcriptional repressor NrdR,N/A,2.14E-04,1.19E-03,-0.004822271,No,non-essential
Synpcc7942_0696,Not analyzed,,photosystem II reaction center protein T,"psbT, psbTc",,,0.320795166,No,ambiguous
Synpcc7942_0697,Not analyzed,,photosystem II core light harvesting protein,psbB,,,0.143989759,No,essential
Synpcc7942_0698,ND (below stat. threshold of conf.),-0.314,Probable ferredoxin,N/A,1.41E-02,4.34E-02,0.23884166,No,non-essential
Synpcc7942_0699,Not analyzed,,photosystem II reaction center protein PsbM,psbM,,,-0.159189938,No,essential
Synpcc7942_0700,ND (below stat. threshold of conf.),0.168,Uncharacterized protein,N/A,1.22E-01,2.40E-01,0.115076929,No,non-essential
Synpcc7942_0701,ND (below stat. threshold of conf.),-0.249,Uncharacterized protein,N/A,3.45E-02,8.89E-02,0.00899199,No,non-essential
Synpcc7942_0702,ND (below stat. threshold of conf.),-0.236,Uncharacterized protein,N/A,4.49E-02,1.09E-01,0.086577827,No,non-essential
Synpcc7942_0703,ND (below stat. threshold of conf.),-0.184,"DNA processing protein DprA, putative",N/A,2.25E-02,6.39E-02,-0.839922285,No,non-essential
Synpcc7942_0704,ND (below stat. threshold of conf.),-0.006,Chloramphenicol O-acetyltransferase (EC 2.3.1.28),N/A,9.87E-01,9.89E-01,-0.626400189,No,non-essential
Synpcc7942_0705,ND (below stat. threshold of conf.),-0.030,Uncharacterized protein,N/A,8.23E-01,8.88E-01,-0.344530741,No,non-essential
Synpcc7942_0706,Increase,1.228,Precorrin decarbocylase,cobL,3.44E-14,5.69E-13,-0.287594879,No,non-essential
Synpcc7942_0707,ND (below stat. threshold of conf.),-0.115,Arginine decarboxylase (EC 4.1.1.19),N/A,1.98E-01,3.39E-01,-0.004065301,No,beneficial
Synpcc7942_0708,ND (below stat. threshold of conf.),0.189,Uncharacterized protein,N/A,2.23E-02,6.34E-02,-0.09515959,No,non-essential
Synpcc7942_0709,ND (below stat. threshold of conf.),-0.181,Uncharacterized protein,N/A,3.57E-01,5.08E-01,0.386755212,No,non-essential
Synpcc7942_0710,Not analyzed,,hypothetical protein,N/A,,,0.266222795,No,essential
Synpcc7942_0711,Not analyzed,,carbamoyl phosphate synthase large subunit,"carB, pyrA",,,0.231069855,No,essential
Synpcc7942_0712,ND (below stat. threshold of conf.),-0.366,C-terminal processing peptidase-2. Serine peptidase. MEROPS family S41A,N/A,1.10E-02,3.53E-02,0.030500377,No,beneficial
Synpcc7942_0713,Not analyzed,,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,ispG,,,0.342784304,No,essential
Synpcc7942_0714,Negligable/minor,-0.173,Cell wall hydrolase/autolysin,N/A,1.68E-03,7.34E-03,0.160698003,No,non-essential
Synpcc7942_0715,Not analyzed,,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,"murZ, murA",,,0.179703193,No,essential
Synpcc7942_0716,Negligable/minor,-0.269,Uncharacterized protein,N/A,1.02E-04,6.03E-04,0.050991502,No,non-essential
Synpcc7942_0717,ND (below stat. threshold of conf.),-0.009,dCTP deaminase (EC 3.5.4.13),N/A,9.16E-01,9.46E-01,0.022016473,No,non-essential
Synpcc7942_0718,ND (below stat. threshold of conf.),-0.257,Uncharacterized protein,N/A,2.97E-03,1.19E-02,0.054950457,No,non-essential
Synpcc7942_0719,ND (below stat. threshold of conf.),-0.172,Uncharacterized protein,N/A,1.57E-01,2.85E-01,-0.008148299,No,non-essential
Synpcc7942_0720,ND (below stat. threshold of conf.),-0.252,Uncharacterized protein,N/A,3.06E-01,4.59E-01,0.078497801,No,non-essential
Synpcc7942_0721,ND (below stat. threshold of conf.),-0.170,Uncharacterized protein,N/A,1.28E-01,2.46E-01,-0.011583666,No,non-essential
Synpcc7942_0722,ND (below stat. threshold of conf.),-0.079,Uncharacterized protein,N/A,2.07E-01,3.48E-01,0.031935634,No,non-essential
Synpcc7942_0723,Not analyzed,,hypothetical protein,N/A,,,0.22803682,No,essential
Synpcc7942_0724,ND (below stat. threshold of conf.),0.062,Uncharacterized protein,N/A,4.74E-01,6.17E-01,-0.141907002,No,non-essential
Synpcc7942_0725,ND (below stat. threshold of conf.),-0.067,DEAD/DEAH box helicase-like,N/A,2.21E-01,3.63E-01,0.063948595,No,non-essential
Synpcc7942_0726,ND (below stat. threshold of conf.),-0.410,Uncharacterized protein,N/A,1.38E-02,4.27E-02,0.150967139,No,non-essential
Synpcc7942_0727,Negligable/minor,-0.193,Uncharacterized protein,N/A,2.09E-05,1.40E-04,-0.014042865,No,non-essential
Synpcc7942_0728,Negligable/minor,-0.280,Uncharacterized protein,N/A,3.22E-04,1.74E-03,-0.005954274,No,non-essential
